fixture_id,fixture_family,mutation,expected_strict_accept,placement,jpeg_file,reference_png_file,source_pixels_sha256,jpeg_sha256,jpeg_size_bytes,inserted_bytes,base_stream_preserved,reference_bgr_sha256,reference_png_sha256,width,height,generator_adapter,generator_wrapper_version,generator_jpeg_backend
exif_orientation_9,malformed_exif,orientation_out_of_range,0,after_soi,exif_orientation_9.jpg,rgb_control.reference.png,c45bc99f214d8a73f0db6a236241e2e11cc49891efd9fe2ff4c9098132c0bf45,8731afcc36ddf09ab09f65f46edbb0170044cba6fd46425376c1a16cdae8aac6,2740,36,1,54c5386a00d533ca9853c5136b71ce60f7d0bcd57b67c09db15cbfff782512f1,9435d5951517b1f6df7cf8ea14f82159e2a0dee16e7e9c38e76ff5520cffc1d8,104,72,pillow_rgb_plus_controlled_app_bytes,12.3.0,libjpeg-turbo 3.1.4.1
exif_truncated_header,malformed_exif,truncated_tiff_header,0,after_soi,exif_truncated_header.jpg,rgb_control.reference.png,c45bc99f214d8a73f0db6a236241e2e11cc49891efd9fe2ff4c9098132c0bf45,ff15651dc6a882b0d4f73424c29bbeb0b4f55e0f85ebd3830f8eda8765d932d4,2717,13,1,54c5386a00d533ca9853c5136b71ce60f7d0bcd57b67c09db15cbfff782512f1,9435d5951517b1f6df7cf8ea14f82159e2a0dee16e7e9c38e76ff5520cffc1d8,104,72,pillow_rgb_plus_controlled_app_bytes,12.3.0,libjpeg-turbo 3.1.4.1
icc_duplicate_sequence,malformed_icc,duplicate_sequence_one,0,after_soi,icc_duplicate_sequence.jpg,rgb_control.reference.png,c45bc99f214d8a73f0db6a236241e2e11cc49891efd9fe2ff4c9098132c0bf45,5eb11b39843630229fbb300f9c91f061c0378a16ad80926d40d3775d53405c6f,3916,1212,1,54c5386a00d533ca9853c5136b71ce60f7d0bcd57b67c09db15cbfff782512f1,9435d5951517b1f6df7cf8ea14f82159e2a0dee16e7e9c38e76ff5520cffc1d8,104,72,pillow_rgb_plus_controlled_app_bytes,12.3.0,libjpeg-turbo 3.1.4.1
icc_gamma_2_2_valid,valid_icc,single_complete_chunk,1,after_soi,icc_gamma_2_2_valid.jpg,rgb_control.reference.png,c45bc99f214d8a73f0db6a236241e2e11cc49891efd9fe2ff4c9098132c0bf45,630024d339cc8077f899dcd5faa158641eab12db98657dcbc36236c49fd9516b,3310,606,1,54c5386a00d533ca9853c5136b71ce60f7d0bcd57b67c09db15cbfff782512f1,9435d5951517b1f6df7cf8ea14f82159e2a0dee16e7e9c38e76ff5520cffc1d8,104,72,pillow_rgb_plus_controlled_app_bytes,12.3.0,libjpeg-turbo 3.1.4.1
icc_inconsistent_chunk_count,malformed_icc,chunk_counts_two_and_three,0,after_soi,icc_inconsistent_chunk_count.jpg,rgb_control.reference.png,c45bc99f214d8a73f0db6a236241e2e11cc49891efd9fe2ff4c9098132c0bf45,04a16df2b71101dfab5f019ac37e06253ecc61ec016270685810c587df85f4a2,3328,624,1,54c5386a00d533ca9853c5136b71ce60f7d0bcd57b67c09db15cbfff782512f1,9435d5951517b1f6df7cf8ea14f82159e2a0dee16e7e9c38e76ff5520cffc1d8,104,72,pillow_rgb_plus_controlled_app_bytes,12.3.0,libjpeg-turbo 3.1.4.1
icc_missing_second_chunk,malformed_icc,declared_two_observed_one,0,after_soi,icc_missing_second_chunk.jpg,rgb_control.reference.png,c45bc99f214d8a73f0db6a236241e2e11cc49891efd9fe2ff4c9098132c0bf45,8fbb49482aebe310c9a2b8898e8cd5edae5518997357f02435d505ead64c801b,3310,606,1,54c5386a00d533ca9853c5136b71ce60f7d0bcd57b67c09db15cbfff782512f1,9435d5951517b1f6df7cf8ea14f82159e2a0dee16e7e9c38e76ff5520cffc1d8,104,72,pillow_rgb_plus_controlled_app_bytes,12.3.0,libjpeg-turbo 3.1.4.1
icc_truncated_chunk_header,malformed_icc,missing_chunk_count,0,after_soi,icc_truncated_chunk_header.jpg,rgb_control.reference.png,c45bc99f214d8a73f0db6a236241e2e11cc49891efd9fe2ff4c9098132c0bf45,af2a2c0280e5c52e61df54ca898fe015063d8bcad3142b89350ebabf2db9eb06,2721,17,1,54c5386a00d533ca9853c5136b71ce60f7d0bcd57b67c09db15cbfff782512f1,9435d5951517b1f6df7cf8ea14f82159e2a0dee16e7e9c38e76ff5520cffc1d8,104,72,pillow_rgb_plus_controlled_app_bytes,12.3.0,libjpeg-turbo 3.1.4.1
icc_truncated_profile,malformed_icc,profile_size_mismatch,0,after_soi,icc_truncated_profile.jpg,rgb_control.reference.png,c45bc99f214d8a73f0db6a236241e2e11cc49891efd9fe2ff4c9098132c0bf45,29f4b29433811ff7b5bc7f5d1082447b6900b7d9e1cb45a174ab14b45b1c4540,3278,574,1,54c5386a00d533ca9853c5136b71ce60f7d0bcd57b67c09db15cbfff782512f1,9435d5951517b1f6df7cf8ea14f82159e2a0dee16e7e9c38e76ff5520cffc1d8,104,72,pillow_rgb_plus_controlled_app_bytes,12.3.0,libjpeg-turbo 3.1.4.1
icc_zero_sequence,malformed_icc,zero_sequence_number,0,after_soi,icc_zero_sequence.jpg,rgb_control.reference.png,c45bc99f214d8a73f0db6a236241e2e11cc49891efd9fe2ff4c9098132c0bf45,75e60d91cd0a869c9d16c09c05598847d478436dfd322071f8e6ef6512e0f78f,3310,606,1,54c5386a00d533ca9853c5136b71ce60f7d0bcd57b67c09db15cbfff782512f1,9435d5951517b1f6df7cf8ea14f82159e2a0dee16e7e9c38e76ff5520cffc1d8,104,72,pillow_rgb_plus_controlled_app_bytes,12.3.0,libjpeg-turbo 3.1.4.1
rgb_control,control,none,1,none,rgb_control.jpg,rgb_control.reference.png,c45bc99f214d8a73f0db6a236241e2e11cc49891efd9fe2ff4c9098132c0bf45,f8634bfb6925b391c5257f0a13320e6e1af8979ca75e329f452854bd8c74debf,2704,0,1,54c5386a00d533ca9853c5136b71ce60f7d0bcd57b67c09db15cbfff782512f1,9435d5951517b1f6df7cf8ea14f82159e2a0dee16e7e9c38e76ff5520cffc1d8,104,72,pillow_rgb_plus_controlled_app_bytes,12.3.0,libjpeg-turbo 3.1.4.1
trailing_data_after_eoi,malformed_framing,eight_trailing_bytes,0,after_eoi,trailing_data_after_eoi.jpg,rgb_control.reference.png,c45bc99f214d8a73f0db6a236241e2e11cc49891efd9fe2ff4c9098132c0bf45,ff7d7b96de88a038196e96455997fefbed5f522164630e84f3a47df6042d86f0,2712,8,1,54c5386a00d533ca9853c5136b71ce60f7d0bcd57b67c09db15cbfff782512f1,9435d5951517b1f6df7cf8ea14f82159e2a0dee16e7e9c38e76ff5520cffc1d8,104,72,pillow_rgb_plus_controlled_app_bytes,12.3.0,libjpeg-turbo 3.1.4.1
