fixture,category,condition,file_name,expected_decision,expected_reason_code,source_bytes,source_sha256,max_file_bytes,max_tokens,max_declarations,max_nesting_depth,max_token_chars
unmatched_comment_close,lexical,comment_close_without_open,unmatched_comment_close.exp,reject,unmatched_comment_close,27,d6f1aa63f0f9edcefd011b3815a58deadc375ceceb9d615ac8210a3036dfe819,1000000,100000,10000,32,16384
unterminated_string,lexical,string_crosses_line,unterminated_string.exp,reject,unterminated_string,71,a634fd0a32823e27ea4ef679aa98e31c26fcfa037386cc190ea13b254dd05527,1000000,100000,10000,32,16384
invalid_binary,lexical,binary_has_no_bits,invalid_binary.exp,reject,invalid_binary_literal,67,b4fbdaa4b4e36608aff056d0c005aa3880ccd4f7e2fc1ce9488b1e69cdde07e8,1000000,100000,10000,32,16384
invalid_real,lexical,exponent_without_decimal_point,invalid_real.exp,reject,invalid_real_literal,68,a63046b2839626a30563622985b36c6e0c42c5d442495a5708d9ef59de148fcb,1000000,100000,10000,32,16384
missing_header_semicolon,schema,schema_header_has_no_semicolon,missing_header_semicolon.exp,reject,missing_semicolon,23,ef1d5b8b2f45c2a0375c5d9d487cc47e44297240901d319fddc5e7a968669883,1000000,100000,10000,32,16384
missing_end_schema,schema,schema_reaches_eof,missing_end_schema.exp,reject,missing_end_schema,13,77920fc256a878737a744762a4f9ee27415b6de615b28321c1a308f25f477770,1000000,100000,10000,32,16384
duplicate_schema,schema,case_insensitive_schema_collision,duplicate_schema.exp,reject,duplicate_schema,49,253c89792b8c2e61de49865d559052f8cfe0d7cdcd7ff4c995b7507eda8af410,1000000,100000,10000,32,16384
duplicate_declaration,model,type_and_entity_name_collision,duplicate_declaration.exp,reject,duplicate_declaration,79,3acfd19e0ae9b3335e01bdef4174664494d63a94ba043edac71fa9fb91bdc137,1000000,100000,10000,32,16384
empty_select,type,select_member_list_is_empty,empty_select.exp,reject,empty_identifier_list,59,05e55f8cfe5951900f1725194785b62ba585d663be180358db5d2913c44f71c0,1000000,100000,10000,32,16384
missing_end_entity,entity,entity_reaches_schema_end,missing_end_entity.exp,reject,missing_end_entity,58,9fcad5c8e3ab902123c3114024f98b66f2e2459cdce634bd478bede4a50a377c,1000000,100000,10000,32,16384
duplicate_attribute,entity,case_insensitive_attribute_collision,duplicate_attribute.exp,reject,duplicate_attribute,81,427a89e487338ae4d36b88d091a40302ad159e274c3a60a4d9699c2f322e548b,1000000,100000,10000,32,16384
derived_missing_assignment,entity,derived_attribute_lacks_assignment,derived_missing_assignment.exp,reject,missing_derived_assignment,96,e79a06bbb35e85a4cd1ff4ffdcedafd6570856b6e181d997ce7eeb2f2b4b2327,1000000,100000,10000,32,16384
empty_where,constraint,where_section_has_no_rule,empty_where.exp,reject,empty_rule_section,61,adf5261331a21546653016abcd611540a2cc37d6527aadb684c0c4d91543de09,1000000,100000,10000,32,16384
unsupported_declaration,boundary,context_declaration_is_outside_subset,unsupported_declaration.exp,reject,unsupported_declaration,57,63932730d5f32481a3813f42b6df3ccac14d7a32fd0c8fbc712c4ebc04860eda,1000000,100000,10000,32,16384
missing_end_function,algorithm,function_reaches_schema_end,missing_end_function.exp,reject,missing_end_function,85,4eab0c3e1b2a2146064ad9550a9b967021698e85077494f3e0bba123c419c92c,1000000,100000,10000,32,16384
comment_nesting_limit,resource_limit,nested_comments_exceed_limit,comment_nesting_limit.exp,quarantine,comment_nesting_limit,64,ff98e2520c8d096a49a6330919a6a5b093ccf7e32409845832f4bd1e813d818b,1000000,100000,10000,2,16384
