fixture,symbol_id,schema_name,name,kind,source_line
use_explicit,base::item,base,item,entity,1
use_explicit,schema::app,app,app,schema,1
use_explicit,app::holder,app,holder,entity,1
use_alias,schema::base,base,base,schema,1
use_alias,base::identifier,base,identifier,type,1
use_alias,schema::app,app,app,schema,1
use_alias,app::item,app,item,entity,1
use_all,schema::base,base,base,schema,1
use_all,base::label,base,label,type,1
use_all,base::item,base,item,entity,1
use_all,schema::app,app,app,schema,1
use_all,app::holder,app,holder,entity,1
reference_constant,schema::base,base,base,schema,1
reference_constant,base::upper_limit,base,upper_limit,constant,1
reference_constant,schema::app,app,app,schema,1
reference_constant,app::labels,app,labels,type,1
reference_function,schema::base,base,base,schema,1
reference_function,base::identity,base,identity,function,1
reference_function,schema::app,app,app,schema,1
inverse_attribute,schema::demo,demo,demo,schema,1
inverse_attribute,demo::owner,demo,owner,entity,1
inverse_attribute,demo::item,demo,item,entity,1
rule_target,schema::demo,demo,demo,schema,1
rule_target,demo::item,demo,item,entity,1
rule_target,demo::item_rule,demo,item_rule,rule,1
missing_type,schema::demo,demo,demo,schema,1
missing_type,demo::item,demo,item,entity,1
wrong_kind_type_alias,schema::demo,demo,demo,schema,1
wrong_kind_type_alias,demo::item_alias,demo,item_alias,type,1
wrong_kind_type_alias,demo::item,demo,item,entity,1
missing_select_member,schema::demo,demo,demo,schema,1
missing_select_member,demo::choice,demo,choice,type,1
missing_import_schema,schema::app,app,app,schema,1
missing_import_item,schema::base,base,base,schema,1
missing_import_item,base::item,base,item,entity,1
missing_import_item,schema::app,app,app,schema,1
invalid_use_kind,schema::base,base,base,schema,1
invalid_use_kind,base::identity,base,identity,function,1
invalid_use_kind,schema::app,app,app,schema,1
import_collision,schema::left_schema,left_schema,left_schema,schema,1
import_collision,left_schema::code,left_schema,code,type,1
import_collision,schema::right_schema,right_schema,right_schema,schema,1
import_collision,right_schema::code,right_schema,code,type,1
import_collision,schema::app,app,app,schema,1
import_collision,app::item,app,item,entity,1
alias_cycle,schema::demo,demo,demo,schema,1
alias_cycle,demo::first,demo,first,type,1
alias_cycle,demo::second,demo,second,type,1
missing_supertype,schema::demo,demo,demo,schema,1
missing_supertype,demo::child,demo,child,entity,1
wrong_supertype_kind,schema::demo,demo,demo,schema,1
wrong_supertype_kind,demo::base,demo,base,type,1
wrong_supertype_kind,demo::child,demo,child,entity,1
inheritance_cycle,schema::demo,demo,demo,schema,1
inheritance_cycle,demo::first,demo,first,entity,1
inheritance_cycle,demo::second,demo,second,entity,1
unqualified_redeclaration,schema::demo,demo,demo,schema,1
unqualified_redeclaration,demo::base,demo,base,entity,1
unqualified_redeclaration,demo::child,demo,child,entity,1
inherited_collision,schema::demo,demo,demo,schema,1
inherited_collision,demo::left,demo,left,entity,1
inherited_collision,demo::right,demo,right,entity,1
inherited_collision,demo::child,demo,child,entity,1
invalid_qualified_redeclaration,schema::demo,demo,demo,schema,1
invalid_qualified_redeclaration,demo::base,demo,base,entity,1
invalid_qualified_redeclaration,demo::child,demo,child,entity,1
inverse_missing_forward,schema::demo,demo,demo,schema,1
inverse_missing_forward,demo::owner,demo,owner,entity,1
inverse_missing_forward,demo::item,demo,item,entity,1
invalid_bound_order,schema::demo,demo,demo,schema,1
invalid_bound_order,demo::labels,demo,labels,type,1
missing_bound_constant,schema::demo,demo,demo,schema,1
missing_bound_constant,demo::labels,demo,labels,type,1
