contract_version,graph_id,graph_revision,graph_kind,graph_fingerprint_sha256,node_id,node_type,name,attributes_json,provenance
1.0.0,explicit_plate_with_hole,1,explicit_construction,20fa4966d1578395c93af05d0bf6e3347117dead553eff8cfdca15dd89dbfe85,thickness,parameter,Plate thickness,"{""unit"":""mm"",""value"":2.0}",explicit repository parametric construction
1.0.0,explicit_plate_with_hole,1,explicit_construction,20fa4966d1578395c93af05d0bf6e3347117dead553eff8cfdca15dd89dbfe85,hole_x,parameter,Hole X,"{""unit"":""mm"",""value"":4.0}",explicit repository parametric construction
1.0.0,explicit_plate_with_hole,1,explicit_construction,20fa4966d1578395c93af05d0bf6e3347117dead553eff8cfdca15dd89dbfe85,hole_y,parameter,Hole Y,"{""unit"":""mm"",""value"":4.0}",explicit repository parametric construction
1.0.0,explicit_plate_with_hole,1,explicit_construction,20fa4966d1578395c93af05d0bf6e3347117dead553eff8cfdca15dd89dbfe85,hole_radius,parameter,Hole radius,"{""unit"":""mm"",""value"":1.0}",explicit repository parametric construction
1.0.0,explicit_plate_with_hole,1,explicit_construction,20fa4966d1578395c93af05d0bf6e3347117dead553eff8cfdca15dd89dbfe85,profile,sketch,Rectangle profile,"{""closed"":true,""primitive"":""rectangle""}",explicit repository parametric construction
1.0.0,explicit_plate_with_hole,1,explicit_construction,20fa4966d1578395c93af05d0bf6e3347117dead553eff8cfdca15dd89dbfe85,extrude,feature,Pad,"{""direction"":""0|0|1"",""operation"":""extrusion""}",explicit repository parametric construction
1.0.0,explicit_plate_with_hole,1,explicit_construction,20fa4966d1578395c93af05d0bf6e3347117dead553eff8cfdca15dd89dbfe85,hole,feature,Through hole,"{""extent"":""through_all"",""operation"":""subtractive_cylinder""}",explicit repository parametric construction
1.0.0,explicit_plate_with_hole,1,explicit_construction,20fa4966d1578395c93af05d0bf6e3347117dead553eff8cfdca15dd89dbfe85,result,result,Holed plate B-Rep,"{""representation"":""TopoDS_Shape""}",explicit repository parametric construction
1.0.0,explicit_stepped_prism,1,explicit_construction,3c96e6021d901e3c31dc5ecf79c46319b778846754e6d2b9e21b79ae4dae0a35,datum_xz,datum_plane,XZ datum,"{""normal"":""0|1|0"",""origin"":""0|0|0""}",explicit repository parametric construction
1.0.0,explicit_stepped_prism,1,explicit_construction,3c96e6021d901e3c31dc5ecf79c46319b778846754e6d2b9e21b79ae4dae0a35,length,parameter,Overall length,"{""unit"":""mm"",""value"":12.0}",explicit repository parametric construction
1.0.0,explicit_stepped_prism,1,explicit_construction,3c96e6021d901e3c31dc5ecf79c46319b778846754e6d2b9e21b79ae4dae0a35,lower_height,parameter,Lower height,"{""unit"":""mm"",""value"":3.0}",explicit repository parametric construction
1.0.0,explicit_stepped_prism,1,explicit_construction,3c96e6021d901e3c31dc5ecf79c46319b778846754e6d2b9e21b79ae4dae0a35,step_height,parameter,Step height,"{""unit"":""mm"",""value"":2.0}",explicit repository parametric construction
1.0.0,explicit_stepped_prism,1,explicit_construction,3c96e6021d901e3c31dc5ecf79c46319b778846754e6d2b9e21b79ae4dae0a35,step_position,parameter,Step position,"{""unit"":""mm"",""value"":5.0}",explicit repository parametric construction
1.0.0,explicit_stepped_prism,1,explicit_construction,3c96e6021d901e3c31dc5ecf79c46319b778846754e6d2b9e21b79ae4dae0a35,depth,parameter,Prism depth,"{""unit"":""mm"",""value"":8.0}",explicit repository parametric construction
1.0.0,explicit_stepped_prism,1,explicit_construction,3c96e6021d901e3c31dc5ecf79c46319b778846754e6d2b9e21b79ae4dae0a35,profile,sketch,Stepped profile,"{""closed"":true,""primitive"":""closed_polyline""}",explicit repository parametric construction
1.0.0,explicit_stepped_prism,1,explicit_construction,3c96e6021d901e3c31dc5ecf79c46319b778846754e6d2b9e21b79ae4dae0a35,extrude,feature,Stepped extrusion,"{""direction"":""0|1|0"",""operation"":""extrusion""}",explicit repository parametric construction
1.0.0,explicit_stepped_prism,1,explicit_construction,3c96e6021d901e3c31dc5ecf79c46319b778846754e6d2b9e21b79ae4dae0a35,result,result,Stepped B-Rep,"{""representation"":""TopoDS_Shape""}",explicit repository parametric construction
1.0.0,imported_hole_candidate,1,import_reconstruction_candidate,efa9830f3172bf90489521bdd30c3dba49af71257784dbd34d45417cb3fa66a0,input,import_reference,Imported STEP,"{""access"":""read_only"",""file_name"":""benchmark_through_hole_baseline.step"",""sha256"":""97eebf706ab49d24a40626ed88bfc3b222663fa9878a38b990f2e26c28a2967e""}",committed STEP input reference
1.0.0,imported_hole_candidate,1,import_reconstruction_candidate,efa9830f3172bf90489521bdd30c3dba49af71257784dbd34d45417cb3fa66a0,face_graph,observation,Attributed face graph,"{""representation"":""v0.51.0-compatible descriptors""}",bounded geometric inference; user confirmation required
1.0.0,imported_hole_candidate,1,import_reconstruction_candidate,efa9830f3172bf90489521bdd30c3dba49af71257784dbd34d45417cb3fa66a0,hole_candidate,reconstruction_candidate,Through-hole candidate,"{""candidate_type"":""hole:through"",""status"":""unconfirmed""}",bounded geometric inference; user confirmation required
