contract_version,sample_id,family_id,perturbation,split,feature_label,supported_feature,source_file,source_sha256,source_bytes,fixture_origin,label_provenance,vertex_count,edge_count,face_count,relation_count,plane_face_count,cylinder_face_count,other_curved_face_count,mean_degree,curved_area_ratio,absolute_volume,surface_area,structural_signature_sha256
1.0.0,blind_hole_rotated_z_30,blind_hole,rotated_z_30,train,hole:blind,1,benchmark_blind_hole_rotated_z_30.step,263f142dc08308c8e64b45080d1b77f1e4374453c39bc81aa5e1cef4a0fdab7b,19821,v0.52.0 feature benchmark fixture,repository synthetic construction specification,10,15,8,14,7,1,0,3.5,0.048439597653279577,565.00442571245583,453.99114857513899,6d7e8b8793f66c3e2721c88cc87c31890c03b9d2faab3e8ee130eec4ac3573ab
1.0.0,blind_hole_tolerance_healed,blind_hole,tolerance_healed,train,hole:blind,1,benchmark_blind_hole_tolerance_healed.step,2ba0b742af5bf8874941c2302e82dee76442897a737ed4a30f8b17733d0aa152,19207,v0.52.0 feature benchmark fixture,repository synthetic construction specification,10,15,8,14,7,1,0,3.5,0.048439597653280535,565.00442571243605,453.99114857513001,6d7e8b8793f66c3e2721c88cc87c31890c03b9d2faab3e8ee130eec4ac3573ab
1.0.0,stepped_block_baseline,stepped_block,baseline,train,step:open,1,benchmark_stepped_block_baseline.step,d3dbec2139d94d6bb4efbbed5453759ad2d243c2ec6fa9e49cf6cd2018606b9d,22389,v0.52.0 feature benchmark fixture,repository synthetic construction specification,12,18,8,18,8,0,0,4.5,0,368,364,65cdbb09cacd497a99776e376dc62069d4b4b390e9dc7a37547bd4e0d768f9cb
1.0.0,stepped_block_small_scale,stepped_block,small_scale,train,step:open,1,benchmark_stepped_block_small_scale.step,f02923800e76a1c14ef09a709df3b00c3ed90cfc0d067fbdf5c0ebfc570ac55e,22416,v0.52.0 feature benchmark fixture,repository synthetic construction specification,12,18,8,18,8,0,0,4.5,0,46,91,65cdbb09cacd497a99776e376dc62069d4b4b390e9dc7a37547bd4e0d768f9cb
1.0.0,stepped_block_rotated_z_30,stepped_block,rotated_z_30,train,step:open,1,benchmark_stepped_block_rotated_z_30.step,12e6f3e13c6eebaaac5d7a331a2cfc7bfdd1b66c70565bace56a8ceb4c20c75f,23182,v0.52.0 feature benchmark fixture,repository synthetic construction specification,12,18,8,18,8,0,0,4.5,0,367.99999999999818,364.00000000000875,65cdbb09cacd497a99776e376dc62069d4b4b390e9dc7a37547bd4e0d768f9cb
1.0.0,stepped_block_tolerance_healed,stepped_block,tolerance_healed,train,step:open,1,benchmark_stepped_block_tolerance_healed.step,070cf23bb1bc0b5dc4b5f28e27af63bb644c2eeda0a573422a1be16e4b6284df,22389,v0.52.0 feature benchmark fixture,repository synthetic construction specification,12,18,8,18,8,0,0,4.5,0,368,364,65cdbb09cacd497a99776e376dc62069d4b4b390e9dc7a37547bd4e0d768f9cb
1.0.0,through_slot_baseline,through_slot,baseline,validation,slot:through,1,benchmark_through_slot_baseline.step,7bad2742a1a43cae093fc186ac85cd1d7497d46f27df6272f61f4611475b6829,31908,v0.52.0 feature benchmark fixture,repository synthetic construction specification,16,24,10,24,8,2,0,4.7999999999999998,0.049586195617798888,515.43362938564019,506.8495559215404,29e1903c5b848209ac99ef1734eb5b5669b23de3967a98d0cc229887dc998179
1.0.0,through_slot_small_scale,through_slot,small_scale,validation,slot:through,1,benchmark_through_slot_small_scale.step,00311bd5da9223aa95841917be5e69d77efa4b2c18dda315ea34340323f20226,32082,v0.52.0 feature benchmark fixture,repository synthetic construction specification,16,24,10,24,8,2,0,4.7999999999999998,0.049586195617798881,64.429203673205024,126.7123889803851,29e1903c5b848209ac99ef1734eb5b5669b23de3967a98d0cc229887dc998179
1.0.0,through_slot_rotated_z_30,through_slot,rotated_z_30,validation,slot:through,1,benchmark_through_slot_rotated_z_30.step,2694705a37dc067bc90b9cead1b0a29aec9144852721c1b6118c06f3482f03b5,32481,v0.52.0 feature benchmark fixture,repository synthetic construction specification,16,24,10,24,8,2,0,4.7999999999999998,0.049586195617800317,515.43362938561984,506.84955592152585,29e1903c5b848209ac99ef1734eb5b5669b23de3967a98d0cc229887dc998179
1.0.0,through_slot_tolerance_healed,through_slot,tolerance_healed,validation,slot:through,1,benchmark_through_slot_tolerance_healed.step,d4368b1a220ec1df90efa841389b56c9a5860ebe5c0de909885043e1e9690250,31908,v0.52.0 feature benchmark fixture,repository synthetic construction specification,16,24,10,24,8,2,0,4.7999999999999998,0.049586195617798888,515.43362938564019,506.8495559215404,29e1903c5b848209ac99ef1734eb5b5669b23de3967a98d0cc229887dc998179
1.0.0,chamfer_operation_baseline,chamfer_operation,baseline,validation,chamfer_like:symmetric,1,benchmark_chamfer_operation_baseline.step,7dbfe555849e6d7868830ef0bb5527a96106836ac1d32603c8e247fbb057074e,18884,v0.52.0 feature benchmark fixture,repository synthetic construction specification,10,15,7,15,7,0,0,4.2857142857142856,0,572,426.31370849898474,63409428f64de14aa88bad308bfca3f87006e153cfdbbe3dd758d6a741ee9ddf
1.0.0,chamfer_operation_small_scale,chamfer_operation,small_scale,validation,chamfer_like:symmetric,1,benchmark_chamfer_operation_small_scale.step,e62b534e551a9c6ee41ac13bd95e0d481795bcab2a5d12522c97a1e2ec11f3d2,18877,v0.52.0 feature benchmark fixture,repository synthetic construction specification,10,15,7,15,7,0,0,4.2857142857142856,0,71.5,106.57842712474618,63409428f64de14aa88bad308bfca3f87006e153cfdbbe3dd758d6a741ee9ddf
1.0.0,chamfer_operation_rotated_z_30,chamfer_operation,rotated_z_30,validation,chamfer_like:symmetric,1,benchmark_chamfer_operation_rotated_z_30.step,30769de2cfac6a58ad45ca6cf6bcba15fc605c2070ddff38a95eb29ba93010e4,19487,v0.52.0 feature benchmark fixture,repository synthetic construction specification,10,15,7,15,7,0,0,4.2857142857142856,0,572.00000000002228,426.31370849899247,63409428f64de14aa88bad308bfca3f87006e153cfdbbe3dd758d6a741ee9ddf
1.0.0,chamfer_operation_tolerance_healed,chamfer_operation,tolerance_healed,validation,chamfer_like:symmetric,1,benchmark_chamfer_operation_tolerance_healed.step,66ac13c334f232de07c9da118c533f8ba811b08cbc8ce4c4c30058793498a887,18884,v0.52.0 feature benchmark fixture,repository synthetic construction specification,10,15,7,15,7,0,0,4.2857142857142856,0,572,426.31370849898474,63409428f64de14aa88bad308bfca3f87006e153cfdbbe3dd758d6a741ee9ddf
1.0.0,fillet_operation_baseline,fillet_operation,baseline,test,fillet_like:constant_radius,1,benchmark_fillet_operation_baseline.step,77f8eabeaba3bc9a91d4330ae9af68a42951ff8969f5d39413d23349a11435b1,19982,v0.52.0 feature benchmark fixture,repository synthetic construction specification,10,15,7,15,6,1,0,4.2857142857142856,0.029351272406787268,574.28318530718025,428.13716694115487,d1c5b0a3331caa8a69fb34f51db7337808746428074f0f3990d2a83b1f0c5a2e
1.0.0,fillet_operation_small_scale,fillet_operation,small_scale,test,fillet_like:constant_radius,1,benchmark_fillet_operation_small_scale.step,486c4a38cd4b17da2404f5f1c3fb3e084fe9bfe158430e50db348f6a72ddd3dd,20307,v0.52.0 feature benchmark fixture,repository synthetic construction specification,10,15,7,15,6,1,0,4.2857142857142856,0.029351272406787268,71.785398163397531,107.03429173528872,d1c5b0a3331caa8a69fb34f51db7337808746428074f0f3990d2a83b1f0c5a2e
1.0.0,fillet_operation_rotated_z_30,fillet_operation,rotated_z_30,test,fillet_like:constant_radius,1,benchmark_fillet_operation_rotated_z_30.step,a8dd98f8ae9155d4cfdde3f5dfe13fa7229b22cecb98c34f30dce35bf6b69031,20538,v0.52.0 feature benchmark fixture,repository synthetic construction specification,10,15,7,15,6,1,0,4.2857142857142856,0.029351272406787705,574.28318530720958,428.1371669411713,d1c5b0a3331caa8a69fb34f51db7337808746428074f0f3990d2a83b1f0c5a2e
1.0.0,fillet_operation_tolerance_healed,fillet_operation,tolerance_healed,test,fillet_like:constant_radius,1,benchmark_fillet_operation_tolerance_healed.step,ab576e64532bdbb669c0d57260620adc9e8d5cb05d2a1b0ba21d6708b5e15e06,19982,v0.52.0 feature benchmark fixture,repository synthetic construction specification,10,15,7,15,6,1,0,4.2857142857142856,0.029351272406787268,574.28318530718025,428.13716694115487,d1c5b0a3331caa8a69fb34f51db7337808746428074f0f3990d2a83b1f0c5a2e
1.0.0,cylindrical_boss_baseline,cylindrical_boss,baseline,validation,none,0,benchmark_cylindrical_boss_baseline.step,091b7c838b12d51f0c256961e23818847a76ca0c0ba09c0decab42e47df9f8c4,19217,v0.52.0 feature benchmark fixture,repository synthetic construction specification,10,15,8,14,7,1,0,3.5,0.035085288975637223,585.817477042468,447.70796326794999,6d7e8b8793f66c3e2721c88cc87c31890c03b9d2faab3e8ee130eec4ac3573ab
1.0.0,cylindrical_boss_small_scale,cylindrical_boss,small_scale,validation,none,0,benchmark_cylindrical_boss_small_scale.step,693e6777b9f5b61e618208aea14a116278f68dace408b9d46c434645e2442c95,19537,v0.52.0 feature benchmark fixture,repository synthetic construction specification,10,15,8,14,7,1,0,3.5,0.035085288975637223,73.2271846303085,111.9269908169875,6d7e8b8793f66c3e2721c88cc87c31890c03b9d2faab3e8ee130eec4ac3573ab
1.0.0,cylindrical_boss_rotated_z_30,cylindrical_boss,rotated_z_30,validation,none,0,benchmark_cylindrical_boss_rotated_z_30.step,46bc847929ed5e93bd9e52239d934c3b3bb3943b1a4ec61c35be0a55bc77faf7,19825,v0.52.0 feature benchmark fixture,repository synthetic construction specification,10,15,8,14,7,1,0,3.5,0.035085288975636522,585.81747704248767,447.70796326795897,6d7e8b8793f66c3e2721c88cc87c31890c03b9d2faab3e8ee130eec4ac3573ab
1.0.0,cylindrical_boss_tolerance_healed,cylindrical_boss,tolerance_healed,validation,none,0,benchmark_cylindrical_boss_tolerance_healed.step,091b7c838b12d51f0c256961e23818847a76ca0c0ba09c0decab42e47df9f8c4,19217,v0.52.0 feature benchmark fixture,repository synthetic construction specification,10,15,8,14,7,1,0,3.5,0.035085288975637223,585.817477042468,447.70796326794999,6d7e8b8793f66c3e2721c88cc87c31890c03b9d2faab3e8ee130eec4ac3573ab
1.0.0,toroidal_surface_baseline,toroidal_surface,baseline,test,none,0,dataset_toroidal_surface_baseline.step,294d9d87f7bfbcf78022b44d829e61274e6ca3905bf17b862afe1a9490bcb6af,4139,v0.53.0 dataset fixture,repository synthetic construction specification,1,2,1,0,0,0,1,0,1,59.217626406538315,118.43525281308011,d5a732452fe89e00f991772680dff43ba73e9229b38f81c704bd93a2861e55fd
1.0.0,toroidal_surface_small_scale,toroidal_surface,small_scale,test,none,0,dataset_toroidal_surface_small_scale.step,c8bf00425df4802cf490c94e371127d42d0677b92d1b95aeb6d1cfcd3430eb50,4539,v0.53.0 dataset fixture,repository synthetic construction specification,1,2,1,0,0,0,1,0,1,7.4022033008172894,29.608813203270028,d5a732452fe89e00f991772680dff43ba73e9229b38f81c704bd93a2861e55fd
1.0.0,toroidal_surface_rotated_x_30,toroidal_surface,rotated_x_30,test,none,0,dataset_toroidal_surface_rotated_x_30.step,5e81ec277566830432e53ad863afe0c2e663e02233832e908ca18f94745baf19,4227,v0.53.0 dataset fixture,repository synthetic construction specification,1,2,1,0,0,0,1,0,1,59.217626406538322,118.43525281308011,d5a732452fe89e00f991772680dff43ba73e9229b38f81c704bd93a2861e55fd
1.0.0,toroidal_surface_tolerance_healed,toroidal_surface,tolerance_healed,test,none,0,dataset_toroidal_surface_tolerance_healed.step,8722fbe1945951e8ad242ee14c3a2165896a10c7082042b1f32e8f3dafc63652,4137,v0.53.0 dataset fixture,repository synthetic construction specification,1,2,1,0,0,0,1,0,1,59.217626406533981,118.43525281306449,d5a732452fe89e00f991772680dff43ba73e9229b38f81c704bd93a2861e55fd
