candidate_path,candidate_path_description,quality,chroma_sampling,blur_sigma,observations,encoded_byte_equality_rate,quantization_table_equality_rate,component_signature_equality_rate,decoded_pixel_equality_rate,candidate_to_baseline_size_ratio_mean,laplacian_candidate_to_baseline_ratio_mean,tenengrad_candidate_to_baseline_ratio_mean
pillow_explicit_dqt,Pillow explicit OpenCV-extracted DQT tables,50,420,2,3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
pillow_explicit_dqt,Pillow explicit OpenCV-extracted DQT tables,50,420,3,3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
pillow_explicit_dqt,Pillow explicit OpenCV-extracted DQT tables,75,444,0,3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
pillow_explicit_dqt,Pillow explicit OpenCV-extracted DQT tables,75,444,1,3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
pillow_explicit_dqt,Pillow explicit OpenCV-extracted DQT tables,75,444,2,3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
pillow_explicit_dqt,Pillow explicit OpenCV-extracted DQT tables,75,444,3,3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
pillow_explicit_dqt,Pillow explicit OpenCV-extracted DQT tables,75,420,0,3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
pillow_explicit_dqt,Pillow explicit OpenCV-extracted DQT tables,75,420,1,3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
pillow_explicit_dqt,Pillow explicit OpenCV-extracted DQT tables,75,420,2,3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
pillow_explicit_dqt,Pillow explicit OpenCV-extracted DQT tables,75,420,3,3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
pillow_explicit_dqt,Pillow explicit OpenCV-extracted DQT tables,95,444,0,3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
pillow_explicit_dqt,Pillow explicit OpenCV-extracted DQT tables,95,444,1,3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
pillow_explicit_dqt,Pillow explicit OpenCV-extracted DQT tables,95,444,2,3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
pillow_explicit_dqt,Pillow explicit OpenCV-extracted DQT tables,95,444,3,3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
pillow_explicit_dqt,Pillow explicit OpenCV-extracted DQT tables,95,420,0,3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
pillow_explicit_dqt,Pillow explicit OpenCV-extracted DQT tables,95,420,1,3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
pillow_explicit_dqt,Pillow explicit OpenCV-extracted DQT tables,95,420,2,3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
pillow_explicit_dqt,Pillow explicit OpenCV-extracted DQT tables,95,420,3,3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
pillow_optimized,"Pillow numeric quality, optimized Huffman coding",50,444,0,3,0.000000,1.000000,1.000000,1.000000,0.667669,1.000000,1.000000
pillow_optimized,"Pillow numeric quality, optimized Huffman coding",50,444,1,3,0.000000,1.000000,1.000000,1.000000,0.709585,1.000000,1.000000
pillow_optimized,"Pillow numeric quality, optimized Huffman coding",50,444,2,3,0.000000,1.000000,1.000000,1.000000,0.714089,1.000000,1.000000
pillow_optimized,"Pillow numeric quality, optimized Huffman coding",50,444,3,3,0.000000,1.000000,1.000000,1.000000,0.725118,1.000000,1.000000
pillow_optimized,"Pillow numeric quality, optimized Huffman coding",50,420,0,3,0.000000,1.000000,1.000000,1.000000,0.640542,1.000000,1.000000
pillow_optimized,"Pillow numeric quality, optimized Huffman coding",50,420,1,3,0.000000,1.000000,1.000000,1.000000,0.709999,1.000000,1.000000
pillow_optimized,"Pillow numeric quality, optimized Huffman coding",50,420,2,3,0.000000,1.000000,1.000000,1.000000,0.711902,1.000000,1.000000
pillow_optimized,"Pillow numeric quality, optimized Huffman coding",50,420,3,3,0.000000,1.000000,1.000000,1.000000,0.725702,1.000000,1.000000
pillow_optimized,"Pillow numeric quality, optimized Huffman coding",75,444,0,3,0.000000,1.000000,1.000000,1.000000,0.679086,1.000000,1.000000
pillow_optimized,"Pillow numeric quality, optimized Huffman coding",75,444,1,3,0.000000,1.000000,1.000000,1.000000,0.716080,1.000000,1.000000
pillow_optimized,"Pillow numeric quality, optimized Huffman coding",75,444,2,3,0.000000,1.000000,1.000000,1.000000,0.739510,1.000000,1.000000
pillow_optimized,"Pillow numeric quality, optimized Huffman coding",75,444,3,3,0.000000,1.000000,1.000000,1.000000,0.747754,1.000000,1.000000
pillow_optimized,"Pillow numeric quality, optimized Huffman coding",75,420,0,3,0.000000,1.000000,1.000000,1.000000,0.638227,1.000000,1.000000
pillow_optimized,"Pillow numeric quality, optimized Huffman coding",75,420,1,3,0.000000,1.000000,1.000000,1.000000,0.713493,1.000000,1.000000
pillow_optimized,"Pillow numeric quality, optimized Huffman coding",75,420,2,3,0.000000,1.000000,1.000000,1.000000,0.731714,1.000000,1.000000
pillow_optimized,"Pillow numeric quality, optimized Huffman coding",75,420,3,3,0.000000,1.000000,1.000000,1.000000,0.743495,1.000000,1.000000
pillow_optimized,"Pillow numeric quality, optimized Huffman coding",95,444,0,3,0.000000,1.000000,1.000000,1.000000,0.668484,1.000000,1.000000
pillow_optimized,"Pillow numeric quality, optimized Huffman coding",95,444,1,3,0.000000,1.000000,1.000000,1.000000,0.724252,1.000000,1.000000
pillow_optimized,"Pillow numeric quality, optimized Huffman coding",95,444,2,3,0.000000,1.000000,1.000000,1.000000,0.726900,1.000000,1.000000
pillow_optimized,"Pillow numeric quality, optimized Huffman coding",95,444,3,3,0.000000,1.000000,1.000000,1.000000,0.727944,1.000000,1.000000
pillow_optimized,"Pillow numeric quality, optimized Huffman coding",95,420,0,3,0.000000,1.000000,1.000000,1.000000,0.641663,1.000000,1.000000
pillow_optimized,"Pillow numeric quality, optimized Huffman coding",95,420,1,3,0.000000,1.000000,1.000000,1.000000,0.728343,1.000000,1.000000
pillow_optimized,"Pillow numeric quality, optimized Huffman coding",95,420,2,3,0.000000,1.000000,1.000000,1.000000,0.732788,1.000000,1.000000
pillow_optimized,"Pillow numeric quality, optimized Huffman coding",95,420,3,3,0.000000,1.000000,1.000000,1.000000,0.736767,1.000000,1.000000
