contract_version,control_id,stage,source_file,source_sha256,node_id,analysis_face_index,surface_type,orientation,area,centroid,representative_normal,u_span,v_span,axis_origin,axis_direction,radius,radial_polarity,maximum_absolute_curvature,wire_count,inner_wire_count,boundary_edge_count,face_tolerance,maximum_edge_length,adjacent_node_ids,degree,topology_provenance,geometry_provenance,exchange_provenance
1.0.0,through_hole,step_imported,graph_through_hole.step,c968f97ab06be32a631aedb3fd526d43e3de49f40154b3c7508b4e118bb54543,f6,6,plane,forward,48,12|4|3,1|0|-0,6,8,,,,,0,1,0,4,9.9999999999999995e-08,8,f2|f3|f4|f5,4,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,through_hole,step_imported,graph_through_hole.step,c968f97ab06be32a631aedb3fd526d43e3de49f40154b3c7508b4e118bb54543,f7,7,cylinder,reversed,47.123889803850005,4.0000000000000826|4|3,1|2.0682310711021447e-13|-0,6.2831853071800001,6,4|4|-1,0|0|1,1.25,-1,0.80000000000000004,1,0,3,9.9999999999999995e-08,7.8539816339744828,f3|f5,2,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,stepped_block,constructed,,,f1,1,plane,forward,96,6|4|0,0|0|-1,12,8,,,,,0,1,0,4,9.9999999999999995e-08,12,f2|f6|f7|f8,4,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,stepped_block,constructed,,,f2,2,plane,forward,24,12|4|1.5,1|0|-0,3,8,,,,,0,1,0,4,9.9999999999999995e-08,8,f1|f3|f7|f8,4,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,stepped_block,constructed,,,f3,3,plane,forward,55.999999999999986,8.5|4|2.9999999999999996,0|0|1,7,8,,,,,0,1,0,4,9.9999999999999995e-08,8,f2|f4|f7|f8,4,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,stepped_block,constructed,,,f4,4,plane,forward,16,5|4|4,1|0|-0,2,8,,,,,0,1,0,4,9.9999999999999995e-08,8,f3|f5|f7|f8,4,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,stepped_block,constructed,,,f5,5,plane,forward,39.999999999999993,2.5|4|5,0|0|1,5,8,,,,,0,1,0,4,9.9999999999999995e-08,8,f4|f6|f7|f8,4,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,stepped_block,constructed,,,f6,6,plane,forward,39.999999999999993,0|4|2.5,-1|0|0,5,8,,,,,0,1,0,4,9.9999999999999995e-08,8,f1|f5|f7|f8,4,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,stepped_block,constructed,,,f7,7,plane,forward,45.999999999999986,5.2391304347826084|0|2.043478260869565,0|-1|-0,5,12,,,,,0,1,0,6,9.9999999999999995e-08,12,f1|f2|f3|f4|f5|f6,6,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,stepped_block,constructed,,,f8,8,plane,reversed,45.999999999999986,5.2391304347826084|8|2.043478260869565,-0|1|0,5,12,,,,,0,1,0,6,9.9999999999999995e-08,12,f1|f2|f3|f4|f5|f6,6,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,stepped_block,step_imported,graph_stepped_block.step,d3dbec2139d94d6bb4efbbed5453759ad2d243c2ec6fa9e49cf6cd2018606b9d,f1,1,plane,forward,96,6|4|0,0|0|-1,12,8,,,,,0,1,0,4,9.9999999999999995e-08,12,f2|f6|f7|f8,4,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,stepped_block,step_imported,graph_stepped_block.step,d3dbec2139d94d6bb4efbbed5453759ad2d243c2ec6fa9e49cf6cd2018606b9d,f2,2,plane,forward,24,12|4|1.5,1|0|-0,3,8,,,,,0,1,0,4,9.9999999999999995e-08,8,f1|f3|f7|f8,4,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,stepped_block,step_imported,graph_stepped_block.step,d3dbec2139d94d6bb4efbbed5453759ad2d243c2ec6fa9e49cf6cd2018606b9d,f3,3,plane,forward,55.999999999999986,8.5|4|2.9999999999999996,0|0|1,7,8,,,,,0,1,0,4,9.9999999999999995e-08,8,f2|f4|f7|f8,4,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,stepped_block,step_imported,graph_stepped_block.step,d3dbec2139d94d6bb4efbbed5453759ad2d243c2ec6fa9e49cf6cd2018606b9d,f4,4,plane,forward,16,5|4|4,1|0|-0,2,8,,,,,0,1,0,4,9.9999999999999995e-08,8,f3|f5|f7|f8,4,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,stepped_block,step_imported,graph_stepped_block.step,d3dbec2139d94d6bb4efbbed5453759ad2d243c2ec6fa9e49cf6cd2018606b9d,f5,5,plane,forward,39.999999999999993,2.5|4|5,0|0|1,5,8,,,,,0,1,0,4,9.9999999999999995e-08,8,f4|f6|f7|f8,4,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,stepped_block,step_imported,graph_stepped_block.step,d3dbec2139d94d6bb4efbbed5453759ad2d243c2ec6fa9e49cf6cd2018606b9d,f6,6,plane,forward,39.999999999999993,0|4|2.5,-1|0|0,5,8,,,,,0,1,0,4,9.9999999999999995e-08,8,f1|f5|f7|f8,4,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,stepped_block,step_imported,graph_stepped_block.step,d3dbec2139d94d6bb4efbbed5453759ad2d243c2ec6fa9e49cf6cd2018606b9d,f7,7,plane,forward,45.999999999999986,5.2391304347826084|0|2.043478260869565,0|-1|-0,5,12,,,,,0,1,0,6,9.9999999999999995e-08,12,f1|f2|f3|f4|f5|f6,6,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,stepped_block,step_imported,graph_stepped_block.step,d3dbec2139d94d6bb4efbbed5453759ad2d243c2ec6fa9e49cf6cd2018606b9d,f8,8,plane,reversed,45.999999999999986,5.2391304347826084|8|2.043478260869565,-0|1|0,5,12,,,,,0,1,0,6,9.9999999999999995e-08,12,f1|f2|f3|f4|f5|f6,6,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,fillet_operation,constructed,,,f1,1,plane,forward,39.999999999999993,12|4|2.5,1|0|-0,5,8,,,,,0,1,0,4,9.9999999999999995e-08,8,f2|f3|f4|f5,4,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,fillet_operation,constructed,,,f2,2,plane,reversed,71.785398163397446,5.9827308076378198|0|2.9916992820947312,0|-1|-0,6,12,,,,,0,1,0,5,9.9999999999999995e-08,12,f1|f3|f4|f6|f7,5,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,fillet_operation,constructed,,,f3,3,cylinder,reversed,12.566370614359172,11.636619772367581|4|5.636619772367581,0.70710678118654757|-0|0.70710678118654746,1.5707963267948966,8,11|0|5,-0|1|0,1,1,1,1,0,4,9.9999999999999995e-08,8,f1|f2|f5|f6,4,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,fillet_operation,constructed,,,f4,4,plane,reversed,96,6|4|0,-0|-0|-1,12,8,,,,,0,1,0,4,9.9999999999999995e-08,12,f1|f2|f5|f7,4,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,fillet_operation,constructed,,,f5,5,plane,forward,71.785398163397446,5.9827308076378198|8|2.9916992820947312,-0|1|0,6,12,,,,,0,1,0,5,9.9999999999999995e-08,12,f1|f3|f4|f6|f7,5,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,fillet_operation,constructed,,,f6,6,plane,forward,88,5.5|4|6,0|0|1,11,8,,,,,0,1,0,4,9.9999999999999995e-08,11,f2|f3|f5|f7,4,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,fillet_operation,constructed,,,f7,7,plane,reversed,48,0|4|3,-1|-0|0,6,8,,,,,0,1,0,4,9.9999999999999995e-08,8,f2|f4|f5|f6,4,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,fillet_operation,step_imported,graph_fillet_operation.step,c10fee8a84fc0205bc5afd8dfbb089f8f41d0e2c1fe6e19cb2b29020729b5758,f1,1,plane,forward,39.999999999999993,12|4|2.5,1|0|-0,5,8,,,,,0,1,0,4,9.9999999999999995e-08,8,f2|f3|f4|f5,4,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,fillet_operation,step_imported,graph_fillet_operation.step,c10fee8a84fc0205bc5afd8dfbb089f8f41d0e2c1fe6e19cb2b29020729b5758,f2,2,plane,reversed,71.785398163397446,5.9827308076378198|0|2.9916992820947312,0|-1|-0,6,12,,,,,0,1,0,5,9.9999999999999995e-08,12,f1|f3|f4|f6|f7,5,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,fillet_operation,step_imported,graph_fillet_operation.step,c10fee8a84fc0205bc5afd8dfbb089f8f41d0e2c1fe6e19cb2b29020729b5758,f3,3,cylinder,forward,12.566370614359993,11.63661977236754|4|5.6366197723676059,0.70710678118662085|0|0.70710678118647419,1.5707963267953104,8,11|0|5,-0|1|0,1,1,1,1,0,4,9.9999999999999995e-08,8,f1|f2|f5|f6,4,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,fillet_operation,step_imported,graph_fillet_operation.step,c10fee8a84fc0205bc5afd8dfbb089f8f41d0e2c1fe6e19cb2b29020729b5758,f4,4,plane,reversed,96,6|4|0,-0|-0|-1,12,8,,,,,0,1,0,4,9.9999999999999995e-08,12,f1|f2|f5|f7,4,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,fillet_operation,step_imported,graph_fillet_operation.step,c10fee8a84fc0205bc5afd8dfbb089f8f41d0e2c1fe6e19cb2b29020729b5758,f5,5,plane,forward,71.785398163397446,5.9827308076378198|8|2.9916992820947312,-0|1|0,6,12,,,,,0,1,0,5,9.9999999999999995e-08,12,f1|f3|f4|f6|f7,5,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,fillet_operation,step_imported,graph_fillet_operation.step,c10fee8a84fc0205bc5afd8dfbb089f8f41d0e2c1fe6e19cb2b29020729b5758,f6,6,plane,forward,88,5.5|4|6,0|0|1,11,8,,,,,0,1,0,4,9.9999999999999995e-08,11,f2|f3|f5|f7,4,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,fillet_operation,step_imported,graph_fillet_operation.step,c10fee8a84fc0205bc5afd8dfbb089f8f41d0e2c1fe6e19cb2b29020729b5758,f7,7,plane,reversed,48,0|4|3,-1|-0|0,6,8,,,,,0,1,0,4,9.9999999999999995e-08,8,f2|f4|f5|f6,4,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
