fixture,category,condition,file_name,expected_decision,expected_reason_code,source_bytes,source_sha256,max_symbols,max_references,max_inheritance_edges
alias_cycle,types,two-node type alias cycle,alias_cycle.exp,reject,type_alias_cycle,87,6e703e4b80809f02fd9338514604018a62c8550818c1e5ba266efe54672b9ea5,20000,200000,50000
missing_supertype,inheritance,unresolved entity supertype,missing_supertype.exp,reject,unresolved_reference,77,8c3614e9589f05d50c99d46bb37e6a6cfd54ae20d7ec1cbe357c34055b35588a,20000,200000,50000
wrong_supertype_kind,inheritance,defined type used as entity supertype,wrong_supertype_kind.exp,reject,invalid_kind_reference,99,381763dc2ce035137f94da785390680b798eef1d3480848a23dba5b91b65c969,20000,200000,50000
inheritance_cycle,inheritance,two-node entity inheritance cycle,inheritance_cycle.exp,reject,inheritance_cycle,117,10077dbeadb108e9e553b67a706bc5de73a2c4feee1d656ca1f1eb23d3f8cb11,20000,200000,50000
unqualified_redeclaration,inheritance,inherited name hidden without SELF qualification,unqualified_redeclaration.exp,reject,unqualified_attribute_redeclaration,124,16f5f57ad3597e8c502a159a27be98ccd5b4452fc7c247602d796762edd447f3,20000,200000,50000
inherited_collision,inheritance,multiple inherited attributes share a name,inherited_collision.exp,reject,inherited_attribute_ambiguity,157,363ef4b4dd7d0548db83b04c6b0b0f168c560ed98158a09bf9a567f0457cce44,20000,200000,50000
invalid_qualified_redeclaration,inheritance,qualified redeclaration names missing ancestor attribute,invalid_qualified_redeclaration.exp,reject,invalid_attribute_redeclaration,135,6e364e85d365e1fe1f06c2f6697c2af0967dd275d71d9e8b364f9832d76987c6,20000,200000,50000
inverse_missing_forward,inheritance,inverse names absent forward attribute,inverse_missing_forward.exp,reject,unresolved_inverse_attribute,131,cafdd6312245c6599382de2d75c4a609ad11f5d6a13cf83a617f5e2bc4d882e3,20000,200000,50000
invalid_bound_order,bounds,aggregate lower bound exceeds upper bound,invalid_bound_order.exp,reject,invalid_aggregate_bound_order,71,ff3b09c3ea8f7e42ae238bfef3b42cf0c948435f63dfa09a34b71b70515283be,20000,200000,50000
missing_bound_constant,bounds,aggregate bound constant is unresolved,missing_bound_constant.exp,reject,unresolved_reference,83,655d549621b5795e67fae28f37ff7ed97966ce79e1d234a37ddcb3f28f39fdb9,20000,200000,50000
symbol_limit,resources,semantic symbol budget exceeded,symbol_limit.exp,quarantine,symbol_count_limit,56,8245da1e37cf1e7e25d573dd4926537bbc25f95174ac4aa11eca7b737cc46c99,1,200000,50000
